place_id,name,latitude,longitude,text_review
ChIJ20IY6JvuaS4RifY1a0Stv0c,RM. Tuah Sakato '88 NON MSG,-6.355118200000001,106.8105153,"Saya sangat senang dengan orang memasak atau penjual makanan yang memasak TANPA PENYEDAP, MSG, KALDU KIMIA BUATAN DAN BAHAN PENGAWET/PENYEDAP SEJENISNYA, karena disitulah terlihat seseorang itu ahli memasak atau hanya ahli menggunakan bahan kimia/instan. Namun bila tanpa itu semua maka penggunaan bumbu, teknik dan keahlian memasaknya harus benar, tepat dan jago, agar cita rasa, aroma dan kelezatan dari masakan itu sendiri keluar sempurna untuk disantap.  Awalnya tertarik mencoba makan disini karena  melihat rating di google dan ada tulisan No MSG.  Ternyata saat dicoba rasanya sangat jauh dari yang diharapkan..! Rasa masakannya sangat biasa saja dan cenderung hambar, juga saat disajikan nasi kurang panas, ikan tongkol baladonya sepertinya kurang segar (atau mungkin krn sudah sore), sambal ijonya saja gak ada rasa. Jadi menurut Saya sepertinya penggunaan bumbunya kurang tebal atau garam dan gulanya gak pas, sehingga hampir semua rasa masakannya terasa hambar dan tidak gurih/kurang sedap.  Soal lokasi cukup bagus, mudah ditemukan dan parkir mobil/motor tersedia luas. Soal pelayanan juga sangat standar dan datar-datar saja, cenderung kurang senyum/kurang ramah.  Sayangnya entah kenapa setelah makan disana, malam itu Kami mules dan gak enak perut dan sampai beberapa kali BAB. Jadi mikir 2x kalo mau kembali makan disini.  Untuk soal harga, bila dibandingkan dengan citarasa, ukuran porsi dan suasana, maka makan disini agak terasa lebih mahal dari Resto Padang sekelasnya.  Semoga reviu ini menjadikannya ada perbaikan. Thanks. Masakan non MSG ... Mantap rasa Pelayanannya ramah polll  Utk rasa, mangstaaaab...gak cukup sepiring Kalau makan padang ini rasanya tenggorokan bersih karena benar tanpa MSG. Favorit sambal ati kentang enakkkkk banget!!! Ngobrol dengan Ownernya Mba Dini memang benar tidak pakai MSG apapun itu..berarti luar biasa sih..soalnya rasanya emang enak, beneran rumah makan ini bisa masak ! Kalau bungkus nasi memang tidak sebanyak RM padang lainnya tapi sebandinglah dengan kualitasnya..masakan padang yang dikelola orang padang langsung..  Mau liat review lebih detail..follow instagram saya kuliner jagakarsa ya Masakan enak, kurang penataan disetiap meja spt  tisue, sendok, tusuk gigi..dll, tks"
ChIJm5L2Ug7saS4Rd9BqcrH3S4w,Ayam Goreng Fatmawati,-6.3729103,106.8355987,"Pesan sop buntut lewat ojek online hasilnya mengecewakan. Sop buntut yang datang isinya seperti potongan dengkul gajih besar dan kikil kecil yang keras. Tidak bisa dimakan sama sekali. Harga dan yang didaptkan sangat amat tidak sesuai. Buruk sekali Babatnya 👍👍 Sate usus nya 👍👍 Ada limpa 👍👍 Tdk ada bau amis Sy beli paket ayam penyet, pelayanannya sangat lamaaaaaa, malah punya org duluan yg keluar makanannya, dan si mba2 kasirnya tdk memberikan info jika makanan sy msh lama keluar, kesan pertama yg sy dapat sangat buruk, bukannya melayani malah ngobrol sama karyawan yg lain. Payahlah menu lengkap dari ayam penyet sampai aneka empal dan beberapa menu khas lain pelayanan nya sangattttt lamaaaa bangeeetttt, lama lama lama lama gk jelas"
ChIJu7-2iQ7saS4RDsi668wXdz8,Ichiban Sushi,-6.373311199999999,106.8344654,"Kali kedua makan di ichiban sushi margo. Selalu waiting list tiap mau kesini. Ternyata masih favorit orang2. Pelayanannya ramah. Pesan makanannya scan via hp. Tapi sayang cukup lama nunggu makanan/minumanya dtg. Mungkin krn lagi ramai. PL disini masih termasuk ramah dikantong untuk ukuran sushi di mall. Rasanya juga enak. Sayangnya saos dan wasabi ga disediakan lgsg di meja. Jd seperti saya pecinta sushi pakai wasabi agak repot kalo harus panggil2 pelayan utk minta2 wasabi. 😂😂 1. Lokasi & Tempat Lokasinya agak pojok memang dan ada di daerah food court, kalo ga nyasar, saya ga akan tau ada Ichiban Sushi 😅.  Beda dengan sushi lain yang bukan ada di food court, lebih strategis aja.  Overall, tempatnya nyaman banget, asik.  2. Makanan Waktu saya datang pesan Sashimi Set, Tako atau Guritanya sedang kosong, jadi diganti dengan tambahan tuna.  Sepertinya tunanya sedikit kurang mantap, pas digigit agak nyes, kempes ketika di makan, kurang chewy sebagaimana salmon yang enak.  Namun, ya, ikannya menurut saya masih cukup dingin 😅.  Bisa dipertimbangkan untuk di thawing beberapa jam sebelum disajikan.  3. Keramahan Staf Stafnya sangat ramah dan supportif.  Masukan, mungkin kedepannya bisa diinfokan, sekiranya ada item yang tidak tersedia di aplikasi, bisa langsung order di kasir tanpa aplikasi,  Agak repot kalau bolak balik nanya 😅  ... Selebihnya oke kok, sukses selalu ya 👍👍 Ichiban Sushi merupakan salah satu resto yang menyajikan menu Sushi terbaik saat ini, dengan rasa yang lumayan enak... cocoklah buat lidah orang Indo  Dengan variasi menu yang banyak dan lengkap, ditambah harga yang diberikan cukup bersahabat dikantong  Tempatnya sebenarnya cukup nyaman karena berada di Mal terbesar di Depok, namun sayang.... kami harus menunggu cukup lama karena masuk dalam daftar antri... karena area resto terbilang kecil jika dibandingkan dengan orang yang datang kesana  Overall... Ichiban Sushi boleh jadi pilihan tempat makan bagi keluarga.... asal mau sabar antri.... 😀 Udah lama banget ngga kesiniii dan tadi kesini kaget banget dongggggg makin besar dan bagus bangetttt . Mau pesan sudah lewat Qrcode . Dan alat makan nya jadi gemoy gemoy . Sukses selalu yaaa kecewa sih sama pelayanannya baru dateng mau duduk di sofa katanya itu buat makan 4 orang, sedangkan yg duduk di sofa 3 baris 2 orang semua sampe orang2 yg baru dtg cuma 2 org boleh duduk disitu  terus nih pertama ngasih minum aja lama bgt padahal saya liatin dari meja minumnya udah dituangin padahal cuma ocha sama ice tea itupun saya minta tolong dikeluarin dulu minumannya baru dikasih kedua saya pesen ramen, saya minta sendok 1x dia iya ka nanti dibawain, 2x dia bilang sebentar kak nanti saya anter,  abis itu tetep gak dibawain padahal dia wara wiri anter pesanan ke meja deket saya bisa kali sekalian bawain sendok yg saya minta sampe 2x itu akhirnya saya ambil sendiri sendok ke tempat sendok itupun diambilinnya lama padahal makanan saya udah ready semua di meja kecuali memang servis sendiri untuk ambil alat makan, maka saya akan ambil sendiri dan ga akan minta ambilin waitersnya  mestinya kan minuman dan alat makan udah disediakan sebelum makanan datang doong  terus yg ketiga itu piring salad udah pada gompal2, kayaknya udah kurang layak dipakai buat sajian makanan dan berbahaya juga kalo customer kena bagian gomoalnya  ya saya tau weekend outletnya ramai cuma tolong SOP nya diperkuat lagi kali y biar gak ngapokin customer yg dtg dengan pelayanan yg g bgt kaya gitu"
ChIJ______LraS4Ry6-aRDqFFJI,KFC Margonda,-6.374584899999999,106.8328374,"Sebagai pemegang hak waralaba tunggal untuk merek KFC di Indonesia, PT Fast Food Indonesia Tbk didirikan oleh Keluarga Gelael pada 1978. Pada 1979, Perseroan mendapatkan akuisisi waralaba dengan pembukaan gerai pertama pada bulan Oktober di Jalan Melawai di Jakarta. Pembukaan gerai pertama terbukti sukses dan diikuti dengan pembukaan geraigerai selanjutnya di Jakarta dan ekspansi hingga ke sejumlah kota besar lainnya di Indonesia antara lain Bandung, Semarang, Surabaya, Medan, Makassar, dan Manado. Sukses membangun merek ini, menanamkan KFC dalam benak konsumennya sebagai merek waralaba cepat saji yang terkenal dan dominan di Indonesia.  Dengan bergabungnya Salim Group pada 1990 sebagai salah satu pemegang saham utama semakin mendorong inisiatif ekspansi bisnis Perseroan, dan pada 1993, Perseroan terdaftar sebagai emiten di Bursa Efek Jakarta (sekarang Bursa Efek Indonesia), satu langkah untuk meningkatkan pertumbuhannya. Kepemilikan saham mayoritas 80% pada saat ini terdistribusi 43,84% kepada PT Gelael Pratama dari Gelael Group dan 35,84% kepada PT Megah Eraraharja dari Salim Group; sementara saham minoritas (20%) terbagi kepada Masyarakat dan Koperasi Karyawan.  Perseroan memperoleh hak untuk menggunakan merek KFC dari pemilik waralaba saat ini, Yum! Asia Franchise Pte Ltd, suatu bagian dari Yum! Restaurants International (YRI). YRI sendiri adalah sebuah badan usaha dari Yum! Brands Inc, sebuah perusahaan publik di Amerika Serikat dan pemilik waralaba dari empat merek ternama lainnya, yaitu : Pizza Hut, Taco Bell, A&W, dan Long John Silvers. Namun demikian, pada akhir 2011, dua merek lainnya yaitu : A&W dan Long John Silvers sudah tidak bergabung lagi dalam Yum! Brands Inc. Bahkan dengan keluarnya kedua merek ini tidak mengubah posisi Yum! Group sebagai jaringan restoran cepat saji terbesar dan terbaik di dunia dalam memberikan variasi pilihan restoran ternama. Selain itu, untuk kategori ayam goreng cepat saji, tidak ada merek lain yang dapat mengalahkan KFC  Dikutip dari situs resmi kfc Pas pinggir Jalan Raya Margonda, mudah disinggahi, parkir kendaraan luas, posisi parkir motor di basemen. Biaya parkir motor pengunjung Rp3.000. 😇  Termasuk salah satu gerai KFC yang khusus karena ada kafe kopi, di lantai dua. Dulu ada menu choco melted kesukaan, sekarang sudah tak ada, berganti pukis. 😅  Saat berkunjung di Ahad siang, seperti umumnya ramai, tapi pelayanan kasir hanya dibuka satu, satu lagi kosong, jadi antri lumayan panjang.  Lantai satu pojok kanan, dekat kaca, damai dan adem duduk di situ, bisa memandang kubah masjid. Sambil makan ingat Tuhan, alhamdulillah masyaallah. 🙈🥰  Terima kasih sudah buka cabang di Margonda. Semoga makin jaya. 😇  Mohon maaf tadi lupa buang sisa makanan di meja, yaa Allah, lupa banget. 😆😅 Keasyikan sesi curhat jadi tak ingat. Sudah dilap padahal mejanya. Maaf ya. Terima kasih untuk yang bantu bersihkan, semoga semakin disayang Allah. ❤️🌹  Waktu kunjung dokumentasi: Ahad, 15 Mei 2022 KFC Margonda, selain letaknya strategis, di lantai 2nya ada tempat ngopinya juga. Tempat parkir di baseman lumayan luas untuk motor, makanya sering juga untuk titipan karyawan motor yang mau nge-Mall di sekitar. Untuk rasa dan layanan, sudah ter-standarisasi KFC se-Indonesia. KFC coffee buka sejak pagi, bisa jadi alternatif yang nyari sarapan mengingat jarang kafe yang buka pagi sejak jam 7an. Suprisingly, donat dan pukis di sini enak juga. Adonan atau dough-nya empuk, ya, meski rasa tidak terlalu variatif tapi cukuplah. Untuk harga yang tergolong terjangkau dibanding pastry di kafe lain. Pagi ini..pingin Breakfast yg tenang eh malah musik yg di stel keras banget seperti konser musik.Sdh gw tegur staffnya.. Langsung di matikan.. Jeda beberapa menit di hidupkan keras lagi... Kita ini mau makan dgn suasana tenang.. Dasar gebleg staffnya.. Jadi buat yg pingin Breakfast dgn tenang.. Buat saya pribadi Pikir pikir lagi buat makan di KFC di margonda.. Mendingan KFC yg di GDC.."
ChIJ7U9yagjsaS4RvLWT7wvKxfg,Merdeka Soes Roti & Kue,-6.377339699999999,106.8315498,"Pembelian: Minggu 19 Februari 23.  Soes Merdeka cabang Depok, menjual selain soes yang menjadi ciri khas mereka, ada roti isi spt isi ayam, coklat. Lalu ada aneka kue kering seperti Bagelen dan Soes Kering. Selain itu ada juga Pisang Bollen.  Nggak selengkap pusatnya, tapi lumayan lah kalau anda tinggal di Depok dan pengin beli produk Merdeka. Soesnya ukuran rada kecil, krimnya masih otentik dengan rasanya. Bollen Pisang radanya lumayan meski potongan kejunya tidak sebesar toko sebelah yang terkenal dengan produk itu.  Harga terjangkau, saya kira tidak jauh selisihnya dengan pusatnya. Pembelian Soes Ori Krim 4, Roti Ayam 2 dan Bollen Pisang 1 boks isi 10 (bollen besar), habis 131 rb idr.  Suasana toko bersih, tapi memang agak temaram. Layanan pegawainya cukup ramah.  Tempat parkir memadai. Lokasi pas persis di pertigaan Juanda Margonda ( dari arah terminal menuju UI, toko ini ada di sebelah kiri jalan). Kalau dari toko ini anda mau potong lalu lintas langsung belok kanan arah Juanda sepertinya kok agak susah, mepet sekali. Pisang bolen nya enak nih.. rate 9/10 Brownies panggang nya kurang bantet. Jadi lebih mirip kue bolu. Walau rasanya enak, tapi bukan brownies namanya 7/10 Kue sues ada yang kosong dan pahit saya beli isi vanila. Tolong kualitas di perhatikan dan dijaga. Pembelian hari ini Terimakasih Toko ini cukup punya nama, merupakan salah satu cabang dari toko kue dan roti yang berpusat di Bandung. Tersedia kue soes, bolen pisang dan banyak lagi. Sayang nya seringkali pembayaran non tunai bermasalah sehingga pembayaran harus secara tunai atau transfer manual. Berada di Jalan Margonda sebelah Pempek Lapan Duobelas  Sebelum lampu merah Pertamina. Soal rasa enak bgt lah..."
ChIJT2zxNxbsaS4R4UXDZRdJbPs,Bakso Malang Citra,-6.3613535,106.8333118,"Bakso malang terenak yang pernah dicoba. Yg buat beda adalah kuah baksonya yg gurih banget. Kl kesini pasti nambah, nambah kuahnya > Sebelum diracik sambal. Kuahnya pun udah enak. Disini dikenal bakso tanpa bahan pengawet jadi pelanggan tenang klo bawa anak kecil. Saya suka bakso spesialnya. Ruang makan pun cukup bersih dan tidak ada pengamen dll jadi tak ada gangguan. Saya suka ruangannya ber ac. Harga juga worth it dengan cita rasa yang sepadan. Bakso dan kuahnya enak.. dagingnya terasa.  Sayang jus alpukatnya asem.. baru kali ini ngerasa jus alpukat asem, biasa kalau kurang matang mah pait.. jadinya ga diabisin daripada ntar sakit perut.. Pilih yang isi 5 harganya 25 ribu. Bakso halus sama pangsitnya enak. Sisanya, bakso urat, tahu bakso, sama bakso goreng sih biasa aja. Kuahnya juga rada asin, bukan gurih Bakso Malang dengan rasa yang mantap. Daging baksonya kerasa. Harganya lumayan masuk Akal . ada paketanya.  Tinggal pilih sesuai selera  Minumannya juga segar seperti Jeruk Dingin / Panas, Jeruk Nipis"
ChIJz77bmD3saS4RRJ8Izuvn3wE,Martabak Pizza Orins Margonda,-6.359091299999999,106.8330043,"Enak banget, karena bentuknya besar pinter2 bawanya kl naik motor biar topingnya gak geser ke satu sisi miring...martabak telornya mantap...martabak spesial orins juga enak bgt...pernah pas beli dikasih bonus martabak juga ... Rasanya gak perlu diceritain lah ya...langsung dipesen aja trz dinikmatin. Oh iya kalo kesini atau order online, kudu sabar..soalnya agak lama bikinnya. Trz gak ada parkiran juga..kalo brenti di pinggir jalan..ada juga sih motor parkir di trotoar jalan juga. martabak nya bukan yang terenak untuk range harga segitu... tapi pelayanannya lumayan cepat jadi ga usah nunggu lama Beberapa kali order lewat ojol, its really good, no complaint. Martabak manis toppingnya banyak, ga bikin eneg, adonannya wangi dan enak. Kalo buat yg telur, bumbunya berasa dari saus sampe telurnya. Rame sm abang ojek online 😅 Posisinya persis samping refill parfume jd bisa sekalian isi parfum sekalian pesen orins 😅"
ChIJde4j3BbsaS4RZIswtq5iPVU,Warkop Qimpul Javaz Maniez,-6.364369000000001,106.8328658,"Tempat makan murah anak UI. Kenyang dan enak Pas datang pagi sepi cuma biasanya ramai banget.  Ada kenaikan harga sedikit pada menu +2k cek foto aku untuk harga terbaru  Pembayaran bisa pake qris  Overall favorite bgt qimpul lope! Makanan mantaps jiwa... Pas sama kantong mahasiswa dan asik banget lah untuk tempat isi perut.. Enak, murah dan meriah.....suka dengan menu khasnya telor dadar qimpul, garing Buka 24 jam dan selalu ramai. Harga sangat cocok dikantong apalagi buat mahasiswa kos-kos an Lokasinya di Jl. Cengkeh (depan apartemen margonda residence) trus lewat gang kecil sebelah lele lela yg hanya bisa dilalui 1 sepeda Motor. Kalo mau naik motor yaa kudu lewat jl cengkeh atau jalan sebelah apartemen female (proses pembangunan)/liat aja ada gang yg banyak angkot ngetem nah masuk dr sana Warung makan selera mahasiswa (murah) dengan menu khas telur qimpul, rasa enak dan harga terjangkau. Lokasi dekat stasiun UI. Utk menu dan harga lihat foto. Dec 2018. Satu porsi ayam rica2 seharga 16k, snagat puas dengan porsi ayam nya yang 1 piring dan terdiri dari 5-6potong bagian... rasa nya juga nikmat, ini tempat yang cocok buat mahasiswa ui yang berkantong menengah dan tipis tp tidak terlalu tipis."
ChIJP-tWwhbsaS4Rqsj43LT21lQ,Soerabi Bandung Enhaii,-6.36449,106.8334201,"Tempatnya ga update, tp masih nyaman. Serabi duren keju specialnya enaaakk, siomay batagor juga enak. Sayangnya hanya bisa bayar cash, hari gini gitu loh.. Soerabinya lumayan enak dan punya banyak variasi rasa. Tempatnya juga mendukung, cozy buat sekedar sarapan pasca olahraga pagi atau nongkrong dan ngobrol bareng teman. Harga cukup costly sih ya mungkin karena di Margonda surabi pedasnya enak banget, parkiran mobil luas, sayangnya sekarang sepi dan dari luar terlihat seperti sudah tutup Tempatnya luas ,free WiFi ,tempat parkir nya teratur , tempat ini juga memiliki kamar mandi dan mushollah. Tempat ini menyajikan bermacam ragam menu makanan mulai dari batagor hingga nasi goreng , tempat ini juga menyediakan menu tahu kupat menu khusus hari Minggu. Menu di tempat tidak dapat terbilang murah maupun terbilang mahal. Di tempat ini kebersihan cukup baik. Warung surabi bandung yg ada di daerah Margonda Depok, lokasinya pas dipinggir jalan Margonda Raya. Tempatnya cukup luas, harga dan rasa cukup standard. Untuk menu dan daftar harga lihat foto. Dec 2018."
ChIJXzWoqj3saS4R9m-Vae1bGC8,Pecel Lele LELA Margonda,-6.3643649,106.8336479,"Pesan lele fillet goreng tepung, enak tapi sedikit banget porsinya. Mesti pesan 2 porsi dulu baru mantap. Sayur kangkung rasanya standar sih, kurang medok bumbunya.  Untuk harganya sih murah-murah banget, makan sendiri gak sampai 50 ribu.  Restoran ini udah lama banget ada, mungkin ada kali ya lebih dari satu dekade. Tempatnya udah tua tapi bersih banget. Pembayarannya cuma bisa cash doang… Udah 2022 nih, update dong.  Mungkin perlu diadakan renovasi dan inovasi supaya ramai lagi. Btw bisa antar ke rumah juga loh, free ongkir seDepok. Bisa buat acara juga. Langganan makan disini sejak 2019, Sampai sekarang rasanya gak berubah. Harga murah, tempat bersih, wastafel juga bersih. Ada musholahnya juga ❤️❤️ Bapak yg masak dan nganterin makanan nya baik banget, murah senyum. ramah poll Ayam suwir bali Rp 18.500 + nasi 1/2 Rp 3000. Rasanya enak banget ga gitu pedes..mantaplaa Lagi sepi banget, cuma aku yang dine in disitu, terus 20 menit kemudian dateng 1 orang lagi. Total nunggu makanan main course nasi lele telur asin 50 menit. Awalnya saya kira, oh mungkin karena sepi dia bikin dari awal, yaudah. Sampe orang yang dateng setelah saya dapet makanan duluan. Saya baru tanya makanan saya ko belum dateng. Saya ga peduli masalah nya di kitchen, di staf, di mana pun, yang pasti dari tadi staf disitu mondar-mandir liat ko kalau saya belum dapet makanan. Dari aku nanya itu ternyata makanan nya cuma butuh 5 menit buat disiapin… ga ada yang peduli ya daritadi. 50 menit loh nunggu. sudah saya tegur staf nya, dia minta maaf, tapi kalau saya ga tegur kayanya masalah ini bakal lewat aja. i still think the owner needs to know. I hope this reaches out. Also lele telur asin nya potongannya sedikit dan asin banget, banget. Tapi pangsit gorengnya enak. Semoga kedepannya bisa lebih baik, lebih menghargai, dan lebih ramah ya. Makanan : 7/10, kurang berani bumbunya. Jadi rasanya lumayan enak, cuma bumbunya aja yg kurang kental, dan porsi makanan dan minumannya untuk org indo termasuk sedikit. Pelayanan : 10/10, Standart SOP kebanyakan, ramah juga. Suasana : 10/10, Cozy, nyaman, gaberisikan suara jalanan."
